source,line,form_id,kind,name,type,required,action,method
ai-visibility.html,290,visibility-intake,form,,,,JavaScript; see FORM_BEHAVIOR.md,GET default; JavaScript may override
ai-visibility.html,291,visibility-intake,input,company_website_confirm,text,False,,
ai-visibility.html,301,visibility-intake,input,business_name,text,True,,
ai-visibility.html,302,visibility-intake,input,website,url,True,,
ai-visibility.html,303,visibility-intake,input,contact_name,text,True,,
ai-visibility.html,304,visibility-intake,input,contact_email,email,True,,
ai-visibility.html,305,visibility-intake,input,public_email,email,False,,
ai-visibility.html,306,visibility-intake,input,public_phone,tel,False,,
ai-visibility.html,307,visibility-intake,input,location,text,True,,
ai-visibility.html,308,visibility-intake,select,timezone,,True,,
ai-visibility.html,312,visibility-intake,input,business_model,radio,True,,
ai-visibility.html,313,visibility-intake,input,business_model,radio,True,,
ai-visibility.html,314,visibility-intake,input,business_model,radio,True,,
ai-visibility.html,315,visibility-intake,input,business_model,radio,True,,
ai-visibility.html,319,visibility-intake,input,public_address,text,False,,
ai-visibility.html,327,visibility-intake,input,primary_service,text,True,,
ai-visibility.html,328,visibility-intake,textarea,service_areas,,True,,
ai-visibility.html,329,visibility-intake,textarea,services,,True,,
ai-visibility.html,330,visibility-intake,textarea,queries,,True,,
ai-visibility.html,331,visibility-intake,textarea,brand_variants,,False,,
ai-visibility.html,332,visibility-intake,textarea,competitors,,False,,
ai-visibility.html,340,visibility-intake,input,google_business_profile,url,False,,
ai-visibility.html,341,visibility-intake,input,apple_business_connect,url,False,,
ai-visibility.html,342,visibility-intake,input,yelp,url,False,,
ai-visibility.html,343,visibility-intake,input,booking_url,url,False,,
ai-visibility.html,344,visibility-intake,textarea,other_profiles,,False,,
ai-visibility.html,345,visibility-intake,select,cms_platform,,True,,
ai-visibility.html,346,visibility-intake,input,cms_login_url,url,False,,
ai-visibility.html,355,visibility-intake,select,google_business_status,,True,,
ai-visibility.html,356,visibility-intake,select,search_console_status,,True,,
ai-visibility.html,357,visibility-intake,select,bing_webmaster_status,,True,,
ai-visibility.html,358,visibility-intake,select,apple_business_status,,True,,
ai-visibility.html,368,visibility-intake,input,automatic_actions,checkbox,False,,
ai-visibility.html,369,visibility-intake,input,automatic_actions,checkbox,False,,
ai-visibility.html,370,visibility-intake,input,automatic_actions,checkbox,False,,
ai-visibility.html,371,visibility-intake,input,automatic_actions,checkbox,False,,
ai-visibility.html,372,visibility-intake,input,automatic_actions,checkbox,False,,
ai-visibility.html,373,visibility-intake,input,automatic_actions,checkbox,False,,
ai-visibility.html,379,visibility-intake,input,approval_actions,checkbox,False,,
ai-visibility.html,380,visibility-intake,input,approval_actions,checkbox,False,,
ai-visibility.html,381,visibility-intake,input,approval_actions,checkbox,False,,
ai-visibility.html,382,visibility-intake,input,approval_actions,checkbox,False,,
ai-visibility.html,383,visibility-intake,input,approval_actions,checkbox,False,,
ai-visibility.html,384,visibility-intake,input,approval_actions,checkbox,False,,
ai-visibility.html,388,visibility-intake,select,photo_consent_policy,,True,,
ai-visibility.html,389,visibility-intake,input,report_email,email,True,,
ai-visibility.html,390,visibility-intake,textarea,notes,,False,,
ai-visibility.html,398,visibility-intake,input,authority_confirmed,checkbox,True,,
ai-visibility.html,399,visibility-intake,input,no_secrets_confirmed,checkbox,True,,
ai-visibility.html,404,visibility-intake,button,submit-intake,submit,False,,
ai-visibility.html,409,visibility-intake,button,download-again,button,False,,
family-card-chaos-access.html,463,access-form,form,,,,JavaScript; see FORM_BEHAVIOR.md,GET default; JavaScript may override
family-card-chaos-access.html,467,access-form,input,email,email,True,,
family-card-chaos-access.html,468,access-form,button,,submit,False,,
family-card-chaos-access.html,483,access-form,button,copy-invite,button,False,,
