route,preview_state,production_proposal,production_indexing,owner_decision,recoverable_sha256
/,public preview,Retain route; enable indexing only in separately approved production artifact,indexable at approved launch; currently noindex,,7ced6531b48ad7eb8fb61dbeeb1f334d60a3c3c5a984a2afa67df946d60a3e68
/404.html,public preview,Preserve shared 404 with HTTP 404 for missing paths,noindex,,9428350b4218e6b2837e5474e87c4775839ab2b18ac057fd2d34c8d61c7e583c
/Brian_Olsen_DataAnnotation_Visual_AI_Trainer_Resume.pdf,public preview,Preserve exact supporting asset/download URL with its approved unlisted page policy,not a search landing page,Approved portfolio assets; family guide stays isolated,bd87762b223bcbca81a192d6c650211edd5a6758173909af2121c9dbd4b0e97f
/ai-visibility.html,public preview,Retain route; enable indexing only in separately approved production artifact,indexable at approved launch; currently noindex,,137d8a8d7ce4119a1c805be92464a67ba8370601ea12943d134ac0a56ef95d55
/apps-script/Code.gs,preserved source only,Retain existing resource URL; include only after source/public-output review,not a search landing page,,0009fe77e24e879f7cec6454f56de564f2c7dfbaaee0de9ffa3c7619237d066f
/apps-script/README.md,preserved source only,Retain existing resource URL; include only after source/public-output review,not a search landing page,,04417e730f1d5c71381e1abd4b69d77b94df79708b6d9ebe06e28ad4154c9de1
/arc-forge.html,public preview,Retain route; enable indexing only in separately approved production artifact,indexable at approved launch; currently noindex,,45878632a89f3311529c603f04d2a4be5cbbace7cf9f841c31818ca6e5967ca8
/assets/arc-forge/machine-cycle-01.webp,public preview,Retain existing resource URL; include only after source/public-output review,not a search landing page,,5d6403e1fd641b438724b96f7b57cb0a13bc4f5dedc9cfb921dfa835001f22ea
/assets/arc-forge/machine-cycle-02.webp,public preview,Retain existing resource URL; include only after source/public-output review,not a search landing page,,c19653c67a1072efe06146c965fc85a2bf976a73e079390a4a918f185e70e322
/assets/arc-forge/machine-cycle-03.webp,public preview,Retain existing resource URL; include only after source/public-output review,not a search landing page,,30c0be8a1fa98e963e27a749b2b7f0afa5600cd7d1eec57370c90b70c9ebb044
/assets/js/application-view-ping.js,public preview,Preserve exact supporting asset/download URL with its approved unlisted page policy,not a search landing page,Approved portfolio assets; family guide stays isolated,357363221738dec9a53327e49343e6294d644ee0266d6cf31c7d73fc5aa37e33
/assets/territory-execution/Brian_Olsen_Sazerac_Market_Development_Resume.pdf,public preview,Preserve exact supporting asset/download URL with its approved unlisted page policy,not a search landing page,Approved portfolio assets; family guide stays isolated,61a883a2eb83a7691cfd4782791e76c3f7bff045b3143314f0136aceed13cb7c
/assets/territory-execution/bogle-winery-of-year-display.jpg,preserved source only,Preserve original bytes and URL under the portfolio visibility decision,not a search landing page,Unused source asset remains preserved; no cleanup authorized,e5bc9a8106bfae0c9df52842c7199efa31cf0b47277f9619f7e81a87b7464802
/assets/territory-execution/cutwater-stadium.jpg,public preview,Preserve exact supporting asset/download URL with its approved unlisted page policy,not a search landing page,Approved portfolio assets; family guide stays isolated,0508c157e460ec7adbe22f707a00b8eee178d54be85a8daa438e6d6a044019c8
/assets/territory-execution/holiday-mix-match-display.jpg,preserved source only,Preserve original bytes and URL under the portfolio visibility decision,not a search landing page,Unused source asset remains preserved; no cleanup authorized,55abc01ba416bc28bc9ee4ceaa5d40de0ec1962610e5c7b0d112905dcdecefd3
/assets/territory-execution/holiday-wine-arch.jpg,preserved source only,Preserve original bytes and URL under the portfolio visibility decision,not a search landing page,Unused source asset remains preserved; no cleanup authorized,6d007064db04e0ec48f8e4589ca0d013b4c33be194eba2f8ca566e68c3f871eb
/assets/territory-execution/jack-daniels-coca-cola-holiday.webp,preserved source only,Preserve original bytes and URL under the portfolio visibility decision,not a search landing page,Unused source asset remains preserved; no cleanup authorized,7c60909a2cd7f080858ef5766151e1f7a8992cffbd081f6a1156d6aeb71f7d03
/assets/territory-execution/jack-daniels-flavor-portfolio.jpg,public preview,Preserve exact supporting asset/download URL with its approved unlisted page policy,not a search landing page,Approved portfolio assets; family guide stays isolated,41c17cb85f873ec094e732946582b02352c0522b9c7db9bbce7c515147fccfa9
/assets/territory-execution/jack-daniels-football-feature.jpg,public preview,Preserve exact supporting asset/download URL with its approved unlisted page policy,not a search landing page,Approved portfolio assets; family guide stays isolated,49680d72137c731202db1cab95207b352d031aad24219f539a7ddfc3b900d12a
/assets/territory-execution/jack-daniels-holiday-coca-cola.jpg,public preview,Preserve exact supporting asset/download URL with its approved unlisted page policy,not a search landing page,Approved portfolio assets; family guide stays isolated,fb5c2adc62cdce32b996c9cfe1fee25c5a6e92f8eb37aca5b3a7da84fc78d8d5
/assets/territory-execution/jack-daniels-patriotic.jpg,public preview,Preserve exact supporting asset/download URL with its approved unlisted page policy,not a search landing page,Approved portfolio assets; family guide stays isolated,9d2a46a50b2c4aabffbfbfde530afd2f9c2312dcfedeb7df0aea8d0d05adf13f
/assets/territory-execution/jadot-eiffel-display.jpg,preserved source only,Preserve original bytes and URL under the portfolio visibility decision,not a search landing page,Unused source asset remains preserved; no cleanup authorized,5a3ea71818d37a3d0dcbd9167a8b7be7a57dcfef7f011429a7dfb987d19d3e3f
/assets/territory-execution/korbel-seasonal-tower.jpg,public preview,Preserve exact supporting asset/download URL with its approved unlisted page policy,not a search landing page,Approved portfolio assets; family guide stays isolated,a16b1573bc5f9198076d89bc3b3c8bac0538aef778cfaea870cd76b74bc2427e
/assets/territory-execution/lighthouse-multi-brand-display.jpg,public preview,Preserve exact supporting asset/download URL with its approved unlisted page policy,not a search landing page,Approved portfolio assets; family guide stays isolated,c1610d454fbfc32fbbd6fe378401e78636ef0c226e4c16984ff7fc3de2ac2664
/assets/territory-execution/nineteen-crimes-feature.jpg,public preview,Preserve exact supporting asset/download URL with its approved unlisted page policy,not a search landing page,Approved portfolio assets; family guide stays isolated,9b45fa5ebe9df1434848cc53aa651d17fe1ea2dc50cc2238afde9422102c94d2
/assets/territory-execution/spirits-rtd-sprite.webp,preserved source only,Preserve original bytes and URL under the portfolio visibility decision,not a search landing page,Unused source asset remains preserved; no cleanup authorized,dbef1360ad334bf434a17cf83c85fc715c7ca945508ad9c88281601aa99a634d
/assets/territory-execution/spring-wine-arch-display.jpg,public preview,Preserve exact supporting asset/download URL with its approved unlisted page policy,not a search landing page,Approved portfolio assets; family guide stays isolated,e066b6d22606ee168353b7f993d7ebb136c880ed95869d0b5b15072cb40e6aac
/assets/territory-execution/titos-cantarito-fall-display.jpg,preserved source only,Preserve original bytes and URL under the portfolio visibility decision,not a search landing page,Unused source asset remains preserved; no cleanup authorized,28b29d2dac171fac779094ce01587fbd8fdf246d42c406d797a665eba6df2437
/assets/territory-execution/titos-golf-feature.jpg,public preview,Preserve exact supporting asset/download URL with its approved unlisted page policy,not a search landing page,Approved portfolio assets; family guide stays isolated,e9698415f73a8d6aab4e9648d5c91891a5d06adc0f7439e9183804536eabec7b
/assets/territory-execution/titos-mule-mug.jpg,public preview,Preserve exact supporting asset/download URL with its approved unlisted page policy,not a search landing page,Approved portfolio assets; family guide stays isolated,a290f8e20d0bb7cb4a6c468c8d17e9d542c34d170ecdc066cd1fc124ddb78288
/assets/visual-ai/ring-final.jpg,public preview,Preserve exact supporting asset/download URL with its approved unlisted page policy,not a search landing page,Approved portfolio assets; family guide stays isolated,7c2d877391b01db4aba7af8c3b95a42618cd8ead5a51e0debaf78405026687b8
/assets/visual-ai/ring-source.jpg,public preview,Preserve exact supporting asset/download URL with its approved unlisted page policy,not a search landing page,Approved portfolio assets; family guide stays isolated,cc6e1a6666b9a7da83ce2c743d7fd6be103fa060bc930638cdeb49fde1009067
/assets/visual-ai/shadowbox-final.jpg,public preview,Preserve exact supporting asset/download URL with its approved unlisted page policy,not a search landing page,Approved portfolio assets; family guide stays isolated,19b1c1457a065b34ebc319c31bb4a87f1865744cf7476448f38215c66891f9ad
/assets/visual-ai/shadowbox-source.jpg,public preview,Preserve exact supporting asset/download URL with its approved unlisted page policy,not a search landing page,Approved portfolio assets; family guide stays isolated,472d47f4195a550ab1ec6e4e45505df3c1db02995159a3acb545e75d3f39fb1b
/assets/visual-ai/twizzlers-final.jpg,public preview,Preserve exact supporting asset/download URL with its approved unlisted page policy,not a search landing page,Approved portfolio assets; family guide stays isolated,8a81d30fb28789a8be07c66c33e1d03721b5abacdb0a3cd7024ccdf0c35c1903
