source,line,tag,attributes
404.html,4,meta,"{""charset"": ""utf-8""}"
404.html,5,meta,"{""content"": ""width=device-width, initial-scale=1"", ""name"": ""viewport""}"
404.html,7,meta,"{""content"": ""The requested Olsen Automation page could not be found."", ""name"": ""description""}"
ai-visibility.html,4,meta,"{""charset"": ""utf-8""}"
ai-visibility.html,5,meta,"{""content"": ""width=device-width, initial-scale=1"", ""name"": ""viewport""}"
ai-visibility.html,7,meta,"{""content"": ""A practical AI visibility service for local businesses: answer-engine monitoring, evidence, safe improvements, and a guided intake that creates one reusable setup file."", ""name"": ""description""}"
ai-visibility.html,8,meta,"{""content"": ""#f6f3ef"", ""name"": ""theme-color""}"
arc-forge.html,4,meta,"{""charset"": ""utf-8""}"
arc-forge.html,5,meta,"{""content"": ""width=device-width, initial-scale=1"", ""name"": ""viewport""}"
arc-forge.html,7,meta,"{""content"": ""ARC//FORGE is a systems-thinking game about experimentation, automation, and discovering the hidden logic behind the machines you create."", ""name"": ""description""}"
arc-forge.html,8,meta,"{""content"": ""#050a10"", ""name"": ""theme-color""}"
arc-forge.html,9,link,"{""href"": ""https://olsenautomation.com/arc-forge.html"", ""rel"": ""canonical""}"
arc-forge.html,10,meta,"{""content"": ""website"", ""property"": ""og:type""}"
arc-forge.html,11,meta,"{""content"": ""Olsen Automation"", ""property"": ""og:site_name""}"
arc-forge.html,12,meta,"{""content"": ""ARC//FORGE \u2014 Build the Machine. Discover the System."", ""property"": ""og:title""}"
arc-forge.html,13,meta,"{""content"": ""ARC//FORGE is a systems-thinking game about experimentation, automation, and discovering the hidden logic behind the machines you create."", ""property"": ""og:description""}"
arc-forge.html,14,meta,"{""content"": ""https://olsenautomation.com/arc-forge.html"", ""property"": ""og:url""}"
arc-forge.html,15,meta,"{""content"": ""https://olsenautomation.com/assets/arc-forge/machine-cycle-02.webp"", ""property"": ""og:image""}"
arc-forge.html,16,meta,"{""content"": ""1672"", ""property"": ""og:image:width""}"
arc-forge.html,17,meta,"{""content"": ""941"", ""property"": ""og:image:height""}"
arc-forge.html,18,meta,"{""content"": ""ARC//FORGE machine glowing with cyan, purple, and orange energy"", ""property"": ""og:image:alt""}"
arc-forge.html,19,meta,"{""content"": ""summary_large_image"", ""name"": ""twitter:card""}"
arc-forge.html,20,meta,"{""content"": ""ARC//FORGE \u2014 Build the Machine. Discover the System."", ""name"": ""twitter:title""}"
arc-forge.html,21,meta,"{""content"": ""A systems-thinking game about experimentation, automation, and discovering the hidden logic behind the machines you create."", ""name"": ""twitter:description""}"
arc-forge.html,22,meta,"{""content"": ""https://olsenautomation.com/assets/arc-forge/machine-cycle-02.webp"", ""name"": ""twitter:image""}"
cassette-mp4.html,4,meta,"{""charset"": ""utf-8""}"
cassette-mp4.html,5,meta,"{""content"": ""width=device-width, initial-scale=1"", ""name"": ""viewport""}"
cassette-mp4.html,7,meta,"{""content"": ""Cassette.mp4 is a portable, self-describing context envelope for AI assistants."", ""name"": ""description""}"
contact.html,4,meta,"{""charset"": ""utf-8""}"
contact.html,5,meta,"{""content"": ""width=device-width, initial-scale=1"", ""name"": ""viewport""}"
contact.html,7,meta,"{""content"": ""Contact Brian Olsen for product image production, AI-assisted workflows, and Olsen Automation inquiries."", ""name"": ""description""}"
docs.html,4,meta,"{""charset"": ""utf-8""}"
docs.html,5,meta,"{""content"": ""width=device-width, initial-scale=1"", ""name"": ""viewport""}"
