source,source_sha256,new_source,visibility,preservation,before_text_sha256,before_characters
ai-visibility.html,b76e84a0e9d2e4903bd53894915891dbf13f5ebe2586225a5602372cfd2ad522,src/pages/legacy/ai-visibility.html,public,main content and anchors retained; shared chrome; phone corrected; evidence labels added,097256a84fe3e27d0f6711c4b42502f4e4a4661b26f9f7c8375c5ea2e4460669,9421
arc-forge.html,b639bf6a1201309e554db4e246eab9f36880f335b897cd2db5836c1c36ee94b1,src/pages/legacy/arc-forge.html,public,main content and anchors retained; shared chrome; phone corrected; evidence labels added,931a353dcd85bdc8edfb1ce384a534bc1cf65e27d068eef220f187a6aa8b81d5,1319
cassette-mp4.html,00990601b7b1335e6aa0e47d694a6bd045c0e7be6ecd63cf01530e1e0d71514f,src/pages/legacy/cassette-mp4.html,public,main content and anchors retained; shared chrome; phone corrected; evidence labels added,ff5be09e711da3241e6325ef4ab5bc6bb4f577304b11246ee2544d99d7f0023b,2119
contact.html,df17863009b1642fedcc9ecc8eae282fb44fdd29c1aefbd327a2db9fc4542dba,src/pages/legacy/contact.html,public,main content and anchors retained; shared chrome; phone corrected; evidence labels added,64cc3e17e18f0868b3510029ff278264d8b6c29613eb9d7343a2da05fa439fea,329
docs.html,d8677f11d207c740682534ae1bcc1beb660991bb05307e85e965dd797984e1ee,src/pages/legacy/docs.html,public,main content and anchors retained; shared chrome; phone corrected; evidence labels added,d73525f46b502b92116dc1d70ce90a1f57b7972589228071f9efe630032bc1fe,1641
family-card-chaos-access.html,45bb792332b963d3ee118ada619b4399785aaf6ff9f13661f4e37b6117657c46,src/pages/legacy/family-card-chaos-access.html,unlisted/noindex,main content and anchors retained; shared chrome; phone corrected; evidence labels added,4b8f9da8c3adfbb9b59fe58536e45e8b2fe4459fb2ae49e91cb0917928b5d9b7,4118
firefly-living-lights.html,f699474f8f5e9f8006ee5eaf520df5031920093a4fa6327b91077cb37f6293ee,src/pages/legacy/firefly-living-lights.html,public,main content and anchors retained; shared chrome; phone corrected; evidence labels added,7793a90172d16b9533c64d3ce8ff35d23533fbff87db8a9493bef448cfe9817c,19419
product-photo-production.html,2deed876079d3d94f44d9fb90e1920dd6566bd9edc088b2d94d426aedfaafa37,src/pages/legacy/product-photo-production.html,unlisted/noindex,main content and anchors retained; shared chrome; phone corrected; evidence labels added,c575daef72af8379ca3e940d62cb02f97b2b3af92c8980406f9364f6c51b98ce,7398
support.html,0f61be1eb2dbd85fea34f4229957c56406d7fdf6d3450941f3be980c35358526,src/pages/legacy/support.html,public,main content and anchors retained; shared chrome; phone corrected; evidence labels added,1c3b2845451b98d0a5f39e139999ea01307f2d8b450c189b02ec9993c6b769a1,528
territory-sales-execution.html,5ef8b8672efe201eebaef57d7f249acf112fc00103a98b5d941efd3e915a7d01,src/pages/legacy/territory-sales-execution.html,unlisted/noindex,main content and anchors retained; shared chrome; phone corrected; evidence labels added,24e4027fca3883994e46f777785ebabb894fbffd5837f5090561cc4ff7739b1f,4638
verify.html,b2107b9b1ced37aa0ce460427fe5ea3b86da69bd5640264a72cefbc378a83b70,src/pages/legacy/verify.html,public,main content and anchors retained; shared chrome; phone corrected; evidence labels added,b6c6b805126cab961adf4d943dda21d5278f6212f12e29d6ebfb7cf1fd19332c,983
visual-ai-evaluation.html,2d5f237e9ec99b24aa3b8675c9c1061e46f1d88a95de58db780739f605ebacd2,src/pages/legacy/visual-ai-evaluation.html,unlisted/noindex,main content and anchors retained; shared chrome; phone corrected; evidence labels added,20da9e07a07d0d258ac79984e04d022c0122e7744bbf3fa095db67ccda8efbd9,5231
