id,source,source_sha256,candidate,treatment,url,sha256,bytes,width,height
whale-presentation,assets/project-photos/whale-presentation.png,9c343e221d8fdab8e15554481c274db98ebfadf97c0df7a442810ebfd6610140,IMG-003,AI-retouched presentation,/media/whale-presentation-384.176d857068c2.webp,176d857068c285117ffa6483e4ff01a9d14dc9595736ea1a16088f853d362345,10034,384,288
whale-presentation,assets/project-photos/whale-presentation.png,9c343e221d8fdab8e15554481c274db98ebfadf97c0df7a442810ebfd6610140,IMG-003,AI-retouched presentation,/media/whale-presentation-768.636aaf27f9d6.webp,636aaf27f9d63dcb3ff23b49affe79102190edcb147d079444e6a0814470fb6b,29346,768,576
whale-presentation,assets/project-photos/whale-presentation.png,9c343e221d8fdab8e15554481c274db98ebfadf97c0df7a442810ebfd6610140,IMG-003,AI-retouched presentation,/media/whale-presentation-1280.ea991a51e318.webp,ea991a51e318f9e5bf5fdbd86d9917f6c2121c3f942e674788156d3fdfe720ae,62860,1280,960
whale-presentation,assets/project-photos/whale-presentation.png,9c343e221d8fdab8e15554481c274db98ebfadf97c0df7a442810ebfd6610140,IMG-003,AI-retouched presentation,/media/whale-presentation-1280.16826be3f67d.jpg,16826be3f67df93633b48bfec25ac2c03b76606fce626a7e8bf9ccab114891a8,123644,1280,960
whale-assembly,assets/project-photos/whale-assembly.png,fee4e98c64a7a41fe9a740fecda9eac884267fc8ac14c121c26bda4d0311469a,IMG-003,Supplied build photograph,/media/whale-assembly-384.eddaed30e146.webp,eddaed30e146c1210354f621d4ff0f2770b0f38f95c074680a8cfeede6067e8d,27376,384,288
whale-assembly,assets/project-photos/whale-assembly.png,fee4e98c64a7a41fe9a740fecda9eac884267fc8ac14c121c26bda4d0311469a,IMG-003,Supplied build photograph,/media/whale-assembly-768.1116b6086759.webp,1116b6086759a5bfb267d2b7cfc8c9caf2622c0cb62c889302d2f308dbfabc0f,85318,768,576
whale-assembly,assets/project-photos/whale-assembly.png,fee4e98c64a7a41fe9a740fecda9eac884267fc8ac14c121c26bda4d0311469a,IMG-003,Supplied build photograph,/media/whale-assembly-1280.8af3a8c6d875.webp,8af3a8c6d875d20d3e01c01628933de0831fbd209f6f63e7cbe2d1d09425b20a,160304,1280,960
whale-assembly,assets/project-photos/whale-assembly.png,fee4e98c64a7a41fe9a740fecda9eac884267fc8ac14c121c26bda4d0311469a,IMG-003,Supplied build photograph,/media/whale-assembly-1280.ff17af18c9ed.jpg,ff17af18c9ed2124d9c8231459d87eb8eaa8fc2fa22795749ac4239bb76758e5,242194,1280,960
whale-hinge,assets/project-photos/whale-hinge.png,5f5bdb61bbe86480083f958a46c77672c2d0a13506bfc7498b453444491b06bd,IMG-001,Supplied physical-test photograph,/media/whale-hinge-384.16273383f816.webp,16273383f816952a497f9a3c78c9b5a9e88b58c7effa8beed02d2859acc8742c,14432,384,288
whale-hinge,assets/project-photos/whale-hinge.png,5f5bdb61bbe86480083f958a46c77672c2d0a13506bfc7498b453444491b06bd,IMG-001,Supplied physical-test photograph,/media/whale-hinge-768.e5b21edb10be.webp,e5b21edb10be59e43efae1a7a96924c4a635adcff51aecf28d571276b8045a21,46114,768,576
whale-hinge,assets/project-photos/whale-hinge.png,5f5bdb61bbe86480083f958a46c77672c2d0a13506bfc7498b453444491b06bd,IMG-001,Supplied physical-test photograph,/media/whale-hinge-1280.05f15d7d54fa.webp,05f15d7d54fab8eb8d4becb07887170e2adad26c1f2a47b2eaa7263b4538d0a8,90912,1280,960
whale-hinge,assets/project-photos/whale-hinge.png,5f5bdb61bbe86480083f958a46c77672c2d0a13506bfc7498b453444491b06bd,IMG-001,Supplied physical-test photograph,/media/whale-hinge-1280.1746fe164ea7.jpg,1746fe164ea7ce11c363d11eb02b336e8f09504ec35ec5943a439fcc10bdcc4f,155923,1280,960
tomb-presentation,assets/project-photos/tomb-presentation.png,bea52cc057ad1faaf3ac3fad647808666f44381b879fc9366c17048a024a3b7e,IMG-020,AI-retouched presentation,/media/tomb-presentation-384.64d46df7ddfa.webp,64d46df7ddfaeefb364d8d6d48e981481b7b6ce1bf254c34d44a9cea83cb3ed0,11420,384,512
tomb-presentation,assets/project-photos/tomb-presentation.png,bea52cc057ad1faaf3ac3fad647808666f44381b879fc9366c17048a024a3b7e,IMG-020,AI-retouched presentation,/media/tomb-presentation-768.4e6c1eec0394.webp,4e6c1eec03946638ac4c4bc94edb499d60fc89889a97b52fb6b4b6ccfea89416,29346,768,1024
tomb-presentation,assets/project-photos/tomb-presentation.png,bea52cc057ad1faaf3ac3fad647808666f44381b879fc9366c17048a024a3b7e,IMG-020,AI-retouched presentation,/media/tomb-presentation-1086.bf3ebbf0b746.webp,bf3ebbf0b746a25abc6e0cbf83d380cbd956ab1fe852246bdad0da8f355b82c7,51738,1086,1448
tomb-presentation,assets/project-photos/tomb-presentation.png,bea52cc057ad1faaf3ac3fad647808666f44381b879fc9366c17048a024a3b7e,IMG-020,AI-retouched presentation,/media/tomb-presentation-1086.f1d6d96bf64b.jpg,f1d6d96bf64bb20d6878fc031006737d6196bdd1255e64662525e8aa8e80bd6e,108880,1086,1448
tomb-assembly,assets/project-photos/tomb-assembly.png,91ec2ee2015435068b5a0e6959c6c19a51dcb6313a7fae894d706fbc7ac7363d,IMG-018,Supplied assembly photograph,/media/tomb-assembly-384.ba8d0aee9f8d.webp,ba8d0aee9f8d2aa06f0f4c49afd3d0b6c3a4efb1852fbdf0af12ec28302d70ae,18278,384,512
tomb-assembly,assets/project-photos/tomb-assembly.png,91ec2ee2015435068b5a0e6959c6c19a51dcb6313a7fae894d706fbc7ac7363d,IMG-018,Supplied assembly photograph,/media/tomb-assembly-768.ffd98d72a4a7.webp,ffd98d72a4a7cda7d16f73c1f9436bcdd66e2118828d83fbfb776bbdd91adeb5,49140,768,1024
tomb-assembly,assets/project-photos/tomb-assembly.png,91ec2ee2015435068b5a0e6959c6c19a51dcb6313a7fae894d706fbc7ac7363d,IMG-018,Supplied assembly photograph,/media/tomb-assembly-1152.f95d1dd69c3c.webp,f95d1dd69c3c3995c0cbafbc8a45371aeacb9256121a1e71c62f4305a13a9583,91430,1152,1536
tomb-assembly,assets/project-photos/tomb-assembly.png,91ec2ee2015435068b5a0e6959c6c19a51dcb6313a7fae894d706fbc7ac7363d,IMG-018,Supplied assembly photograph,/media/tomb-assembly-1152.5bc0c9bd18ca.jpg,5bc0c9bd18ca39e7124fc36dcd9eeead0a099edbab744c8da21ab5bf81f1a3b1,168577,1152,1536
cedar-presentation,assets/project-photos/cedar-presentation.png,faa54e1b7b819a0100e82a79568f9e0c9f59ae9f97c95bd64796b74d2cdb5d77,IMG-032,AI-retouched presentation,/media/cedar-presentation-384.a8d0952027a8.webp,a8d0952027a80087e7b5d1076c93b70bd30d8fc52bcfcc717430d50987a0c316,6130,384,288
cedar-presentation,assets/project-photos/cedar-presentation.png,faa54e1b7b819a0100e82a79568f9e0c9f59ae9f97c95bd64796b74d2cdb5d77,IMG-032,AI-retouched presentation,/media/cedar-presentation-768.037c09a0f6d3.webp,037c09a0f6d330f3bafad325604b9e17f5b2fa905bcdaaaa0d1cdc38eff74e95,19908,768,576
cedar-presentation,assets/project-photos/cedar-presentation.png,faa54e1b7b819a0100e82a79568f9e0c9f59ae9f97c95bd64796b74d2cdb5d77,IMG-032,AI-retouched presentation,/media/cedar-presentation-1280.8870d0db1cc7.webp,8870d0db1cc775dfb8fff750ec3fe56747dbf7319e4c768bdb8769c2ef434e7b,48972,1280,960
cedar-presentation,assets/project-photos/cedar-presentation.png,faa54e1b7b819a0100e82a79568f9e0c9f59ae9f97c95bd64796b74d2cdb5d77,IMG-032,AI-retouched presentation,/media/cedar-presentation-1280.8de009f4d1a2.jpg,8de009f4d1a24fd3c254223d0c83c6a1456f7edf9db1ea170fc6de9a9ff9d16e,114409,1280,960
cedar-detail,assets/project-photos/cedar-detail.png,d52619f7937be81ebea660843b1a81bbdb59d6e130dbef9d6c7d562de8b4b90e,IMG-033,Supplied construction-detail photograph,/media/cedar-detail-384.1ed54fec0204.webp,1ed54fec02040d5c76c32ef3202d4129cda5484f152309d0eb0b212daf4bf902,30826,384,512
cedar-detail,assets/project-photos/cedar-detail.png,d52619f7937be81ebea660843b1a81bbdb59d6e130dbef9d6c7d562de8b4b90e,IMG-033,Supplied construction-detail photograph,/media/cedar-detail-768.c57976a02d00.webp,c57976a02d0078e0f6663e9c88c9bc86962fdd71f828be51613af88b7fc3efa9,84250,768,1024
cedar-detail,assets/project-photos/cedar-detail.png,d52619f7937be81ebea660843b1a81bbdb59d6e130dbef9d6c7d562de8b4b90e,IMG-033,Supplied construction-detail photograph,/media/cedar-detail-1080.68da146e9159.webp,68da146e915969e9a7cf010c066dc2360a3154b2813c22f72a14c4634c87dba8,169240,1080,1440
cedar-detail,assets/project-photos/cedar-detail.png,d52619f7937be81ebea660843b1a81bbdb59d6e130dbef9d6c7d562de8b4b90e,IMG-033,Supplied construction-detail photograph,/media/cedar-detail-1080.2a0ca6ac36ef.jpg,2a0ca6ac36ef976adc48c2eb61a987b71eb3f47cf34d4ddd9eb509ce677256ae,292461,1080,1440
scribr-transcribe,assets/project-photos/scribr-transcribe.png,91b99978901cf54cd9be614a6e6b814f35866fc422bd022ea3225eb67348e75a,IMG-059,Unaltered application capture,/media/scribr-transcribe-384.2b16b50c0943.webp,2b16b50c0943f3e5e819a535fa7c8b551c5fd0283508874c70ea3337ccdae07a,7142,384,273
