route,viewport,title,width,scrollWidth,photos,atlasPhotos,features,visibleBroken,noindex
/index.html,1440x900,Olsen Automation LLC,1440,1425,0,7,3,[],"noindex,nofollow,noarchive,nosnippet"
/projects.html,1440x900,Project atlas | Olsen Automation,1440,1425,0,7,0,[],"noindex,nofollow,noarchive,nosnippet"
/projects/mechanical-whale.html,1440x900,Mechanical Whale | Olsen Automation,1440,1425,3,0,0,[],"noindex,nofollow,noarchive,nosnippet"
/projects/easter-tomb.html,1440x900,Easter Tomb | Olsen Automation,1440,1425,2,0,0,[],"noindex,nofollow,noarchive,nosnippet"
/projects/cedar-bracket-cover-planters.html,1440x900,Cedar Bracket-Cover Planters | Olsen Automation,1440,1425,2,0,0,[],"noindex,nofollow,noarchive,nosnippet"
/projects/scribr.html,1440x900,Scribr | Olsen Automation,1440,1425,1,0,0,[],"noindex,nofollow,noarchive,nosnippet"
/projects/wing-light.html,1440x900,Wing & Light | Olsen Automation,1440,1425,2,0,0,[],"noindex,nofollow,noarchive,nosnippet"
/index.html,390x844,Olsen Automation LLC,390,375,0,7,3,[],"noindex,nofollow,noarchive,nosnippet"
/projects.html,390x844,Project atlas | Olsen Automation,390,375,0,7,0,[],"noindex,nofollow,noarchive,nosnippet"
/projects/mechanical-whale.html,390x844,Mechanical Whale | Olsen Automation,390,375,3,0,0,[],"noindex,nofollow,noarchive,nosnippet"
/projects/easter-tomb.html,390x844,Easter Tomb | Olsen Automation,390,375,2,0,0,[],"noindex,nofollow,noarchive,nosnippet"
/projects/cedar-bracket-cover-planters.html,390x844,Cedar Bracket-Cover Planters | Olsen Automation,390,375,2,0,0,[],"noindex,nofollow,noarchive,nosnippet"
/projects/scribr.html,390x844,Scribr | Olsen Automation,390,375,1,0,0,[],"noindex,nofollow,noarchive,nosnippet"
/projects/wing-light.html,390x844,Wing & Light | Olsen Automation,390,375,2,0,0,[],"noindex,nofollow,noarchive,nosnippet"
