source,line,kind,value
ai-visibility.html,302,URL literal,https://example.com
ai-visibility.html,340,URL literal,https://maps.google.com/...
ai-visibility.html,340,URL literal,https://support.google.com/business/answer/3403100
ai-visibility.html,341,URL literal,https://maps.apple.com/...
ai-visibility.html,341,URL literal,https://businessconnect.apple.com/
ai-visibility.html,342,URL literal,https://www.yelp.com/biz/...
ai-visibility.html,343,URL literal,https://example.com/book
ai-visibility.html,344,URL literal,https://www.instagram.com/example&#10;https://www.facebook.com/example&#10;https://directory.example/profile
ai-visibility.html,346,URL literal,https://example.com/admin
ai-visibility.html,355,URL literal,https://support.google.com/business/answer/3403100
ai-visibility.html,356,URL literal,https://support.google.com/webmasters/answer/7687615
ai-visibility.html,357,URL literal,https://www2.bing.com/webmasters/help/how-to-add-users-to-your-site-account-d5d00364
ai-visibility.html,358,URL literal,https://businessconnect.apple.com/
ai-visibility.html,443,URL literal,https://script.google.com/macros/s/AKfycbwtqcIqB02Q_BT4d5c3z1OCy6rQif5Jeyg897wQLBoY6UA5vHBR8NOcOdh1SAbmFC3FTQ/exec
ai-visibility.html,481,URL literal,https://olsenautomation.com/ai-visibility.html
ai-visibility.html,547,behavior hook,createObjectURL
ai-visibility.html,582,behavior hook,addEventListener
ai-visibility.html,599,behavior hook,addEventListener
ai-visibility.html,600,behavior hook,addEventListener
ai-visibility.html,602,behavior hook,addEventListener
ai-visibility.html,627,behavior hook,addEventListener
apps-script/Code.gs,14,URL literal,https://olsenautomation.com/ai-visibility.html
apps-script/Code.gs,232,behavior hook,postMessage
arc-forge.html,9,URL literal,https://olsenautomation.com/arc-forge.html
arc-forge.html,14,URL literal,https://olsenautomation.com/arc-forge.html
arc-forge.html,15,URL literal,https://olsenautomation.com/assets/arc-forge/machine-cycle-02.webp
arc-forge.html,22,URL literal,https://olsenautomation.com/assets/arc-forge/machine-cycle-02.webp
assets/js/application-view-ping.js,65,URL literal,https://ntfy.sh/${topic}
assets/js/application-view-ping.js,30,behavior hook,localStorage
assets/js/application-view-ping.js,73,behavior hook,sendBeacon
assets/js/application-view-ping.js,73,behavior hook,sendBeacon
assets/js/application-view-ping.js,77,behavior hook,fetch
assets/js/application-view-ping.js,90,behavior hook,localStorage
assets/js/application-view-ping.js,91,behavior hook,sessionStorage
assets/js/application-view-ping.js,105,behavior hook,sessionStorage
assets/js/application-view-ping.js,106,behavior hook,sessionStorage
assets/js/application-view-ping.js,112,behavior hook,addEventListener
assets/js/application-view-ping.js,113,behavior hook,addEventListener
assets/js/application-view-ping.js,126,behavior hook,addEventListener
contact.html,95,URL literal,https://www.linkedin.com/in/brian-olsen-0668108b
family-card-chaos-access.html,366,URL literal,https://play.olsenfamilygames.com/
family-card-chaos-access.html,530,URL literal,https://olsenautomation.com/family-card-chaos-access.html
family-card-chaos-access.html,530,URL literal,https://play.olsenfamilygames.com/
family-card-chaos-access.html,517,behavior hook,addEventListener
family-card-chaos-access.html,527,behavior hook,location.href
family-card-chaos-access.html,532,behavior hook,addEventListener
family-card-chaos-access.html,534,behavior hook,clipboard
firefly-living-lights.html,9,URL literal,https://olsenautomation.com/firefly-living-lights.html
firefly-living-lights.html,1687,URL literal,https://www.linkedin.com/in/brian-olsen-0668108b
index.html,522,URL literal,https://www.linkedin.com/in/brian-olsen-0668108b
product-photo-production.html,694,URL literal,https://www.linkedin.com/in/brian-olsen-0668108b
sitemap.xml,2,URL literal,http://www.sitemaps.org/schemas/sitemap/0.9
sitemap.xml,3,URL literal,https://olsenautomation.com/
sitemap.xml,4,URL literal,https://olsenautomation.com/arc-forge.html
sitemap.xml,5,URL literal,https://olsenautomation.com/ai-visibility.html
sitemap.xml,6,URL literal,https://olsenautomation.com/product-photo-production.html
sitemap.xml,7,URL literal,https://olsenautomation.com/cassette-mp4.html
sitemap.xml,8,URL literal,https://olsenautomation.com/docs.html
sitemap.xml,9,URL literal,https://olsenautomation.com/support.html
sitemap.xml,10,URL literal,https://olsenautomation.com/contact.html
sitemap.xml,11,URL literal,https://olsenautomation.com/verify.html
support.html,95,URL literal,https://github.com/OlsenAutomation/olsenautomation.github.io/issues
